employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score
8724.0,Technology,region_26,Bachelors,m,sourcing,,24.0,,1,1,0,77
,HR,region_4,Bachelors,f,other,1.0,,3.0,5,0,0,51
72255.0,Sales & Marketing,region_13,Bachelors,m,other,1.0,31.0,1.0,4,0,0,47
38562.0,Procurement,region_2,Bachelors,f,other,3.0,,2.0,9,0,0,65
64486.0,Finance,region_29,Bachelors,m,sourcing,1.0,30.0,4.0,7,0,0,61
46232.0,Procurement,region_7,BACHELOR,m,sourcing,,36.0,3.0,2,0,0,68
54542.0,Finance,region_2,Bachelors,m,other,1.0,33.0,5.0,3,1,0,57
67269.0,Analytics,region_22,Bachelors,m,sourcing,2.0,36.0,3.0,3,0,0,85
66174.0,Technology,region_7,Masters & above,m,other,1.0,51.0,4.0,11,0,0,75
76303.0,Technology,region_22,Bachelors,m,sourcing,1.0,29.0,5.0,2,1,0,76
60245.0,Sales & Marketing,region_16,Bachelors,m,sourcing,2.0,40.0,5.0,12,1,0,50
42639.0,Sales & Marketing,region_17,Masters & above,m,sourcing,1.0,40.0,3.0,10,0,0,46
30963.0,Sales & Marketing,region_4,Masters & above,f,other,1.0,34.0,3.0,4,0,0,52
,Analytics,region_24,Bachelors,m,other,1.0,37.0,3.0,10,0,0,82
42996.0,Operations,region_11,Bachelors,m,sourcing,,30.0,5.0,6,1,0,58
12737.0,Sales & Marketing,region_7,Bachelors,m,sourcing,1.0,31.0,4.0,4,1,0,47
27561.0,Operations,region_27,Bachelors,f,sourcing,1.0,26.0,5.0,3,0,0,56
26622.0,Sales & Marketing,region_17,Bachelors,m,sourcing,,40.0,5.0,6,1,0,50
31582.0,Procurement,region_7,Bachelors,f,other,1.0,49.0,3.0,7,1,0,64
29793.0,Procurement,region_27,Bachelors,m,other,1.0,,2.0,5,0,0,65
,Sales & Marketing,region_9,Masters & above,m,sourcing,1.0,37.0,5.0,3,0,0,47
5677.0,Technology,region_17,Bachelors,m,sourcing,1.0,,,1,0,0,80
60889.0,Technology,region_29,Masters & above,m,sourcing,1.0,30.0,1.0,3,0,0,83
51498.0,Procurement,region_4,Masters & above,m,other,1.0,41.0,3.0,4,0,0,76
8566.0,Finance,region_20,Bachelors,f,other,1.0,29.0,4.0,6,1,0,58
53151.0,Operations,region_20,Bachelors,m,other,,33.0,3.0,7,1,1,62
,Sales & Marketing,region_17,Masters & above,m,sourcing,1.0,34.0,4.0,6,1,0,50
61083.0,Analytics,region_13,Bachelors,m,sourcing,,,3.0,3,1,0,87
74849.0,Operations,region_22,Bachelors,m,other,1.0,,1.0,10,0,0,61
13259.0,Sales & Marketing,region_34,Bachelors,m,sourcing,,,2.0,3,0,0,50
72407.0,Analytics,region_2,Masters & above,m,sourcing,2.0,34.0,4.0,7,0,0,87
65237.0,Sales & Marketing,region_2,Bachelors,m,sourcing,,43.0,1.0,14,0,0,52
67672.0,Technology,region_17,Bachelors,m,other,1.0,29.0,,1,1,0,85
77460.0,Sales & Marketing,region_2,Bachelors,f,sourcing,1.0,35.0,3.0,3,1,0,52
67317.0,Technology,region_22,Masters & above,m,other,4.0,40.0,3.0,12,0,0,77
68788.0,Technology,region_23,Bachelors,m,sourcing,2.0,33.0,4.0,9,0,0,83
36834.0,Sales & Marketing,region_8,Masters & above,m,other,1.0,30.0,3.0,2,1,0,55
64281.0,Sales & Marketing,region_14,Bachelors,f,sourcing,2.0,,1.0,3,1,0,46
1822.0,Sales & Marketing,region_22,Bachelors,m,sourcing,3.0,29.0,1.0,3,0,0,51
55325.0,Analytics,region_22,Bachelors,m,other,,25.0,,1,0,0,88
41432.0,Analytics,region_26,Bachelors,m,sourcing,1.0,26.0,5.0,4,1,0,90
52061.0,Sales & Marketing,region_31,Bachelors,m,other,1.0,27.0,2.0,3,0,0,52
,Operations,region_13,Bachelors,m,other,1.0,34.0,5.0,5,1,0,66
42524.0,Sales & Marketing,region_31,Bachelors,m,sourcing,1.0,26.0,4.0,5,0,0,45
7935.0,Technology,region_2,Bachelors,f,other,1.0,52.0,5.0,18,0,0,80
49940.0,Sales & Marketing,region_7,Bachelors,m,other,1.0,,5.0,2,1,0,54
10059.0,Analytics,region_34,Bachelors,m,sourcing,3.0,27.0,3.0,2,0,0,83
44159.0,Analytics,region_22,Masters & above,m,other,1.0,31.0,,1,1,0,84
76691.0,Operations,region_23,Bachelors,m,other,1.0,33.0,4.0,8,1,0,59
3720.0,Sales & Marketing,region_2,,m,sourcing,1.0,36.0,5.0,4,1,0,49
5621.0,Technology,region_2,Masters & above,f,other,1.0,57.0,1.0,26,0,0,76
24147.0,Sales & Marketing,region_2,Bachelors,m,other,2.0,46.0,1.0,7,0,0,49
33997.0,Sales & Marketing,region_19,Bachelors,m,sourcing,1.0,30.0,2.0,3,0,0,50
64076.0,Operations,region_2,Below Secondary,m,other,,,,1,1,0,56
21379.0,Technology,region_4,Bachelors,m,sourcing,1.0,26.0,,1,1,0,85
23714.0,Technology,region_7,Masters & above,m,sourcing,2.0,40.0,3.0,6,0,0,81
19866.0,Technology,region_23,Bachelors,m,other,2.0,32.0,3.0,6,0,0,79
4529.0,Finance,region_22,Masters & above,f,sourcing,,36.0,3.0,2,1,0,61
